excuse	[iks'kju:z]	v.原谅
beside	[bi'said]	prep.在......旁
off	[ɒ:f]	prep.离开
work	[wз:k]	v.工作
hard	['ha:d]	ad.努力地
make	[meik]	v.做
bookcase	['bukkeis]	n.书橱，书架
hammer	['hæmə]	n.锤子
paint	[peint]	v.上漆，涂
pink	[pıŋk]	n. & a.粉红色
favourite	['feivərit]	a.最喜欢的
homework	['həʊmwз:k]	n.作业
listen	['lisn]	v.听
dish	[diʃ]	n.盘子，碟子
front	[frʌnt]	n.前面
in front of		在......之前
careful	['kAəful]	a.小心的，仔细的
vase	[va:z]	n.花瓶
drop	[drɒp]	v.掉下
flower	['flauə]	n.花
show	[ʃəʊ]	v.给......看
send	[send]	v.送给
take	[teik]	v.带给
cheese	[tʃi:z]	n.乳酪，干酪
bread	[bred]	n.面包
soap	[səʊp]	n.肥皂
chocolate	['tʃɒkəlit]	n.巧克力
sugar	['ʃugə]	n.糖
coffee	['kɒfi]	n.咖啡
tea	[ti:]	n.茶
tobacco	[tə'bækəʊ]	n.烟草，烟丝
bird	[bз:d]	n.鸟
any	['eni]	a.一些
some	[sʌm]	a.一些
of course		当然
kettle	['ketl]	n.水壶
behind	[bi'haind]	prep.在...后面
teapot	['ti:pɒt]	n.茶壶
now	[nau]	ad.现在，此刻
find	[faind]	v.找到
boil	[bɒil]	v.沸腾，开
can	[kæn]	aux.v.能够
boss	[bɒs]	n.老板，上司
minute	['minit, mai'nju:t]	n.分(钟)
ask	[a:sk]	v.请求，要求
handwriting	['hændraitıŋ]	n.书写
terrible	['terəbl]	a.糟糕的，可怕的
lift	[lift]	v.拿起，搬起，举起
cake	[keik]	n.饼，蛋糕
biscuit	['biskit]	n.饼干
like	[laik]	v.喜欢，想要
want	[wɒnt]	v.想
fresh	[freʃ]	a.新鲜的
egg	[eg]	n.鸡蛋
butter	['bʌtə]	n.黄油
pure	[pjuə]	a.纯净的
honey	['hʌni]	n.蜂蜜
ripe	[raip]	a.成熟的
banana	[bə'na:nə]	n.香蕉
jam	[dʒæm]	n.果酱
sweet	[swi:t]	a.甜的
orange	['ɒrindʒ]	n.橙
Scotch whisky		苏格兰威士忌
choice	[tʃɒis]	a.上等的，精选的
apple	['æpl]	n.苹果
wine	[wain]	n.酒，果酒
beer	[bıə]	n.啤酒
blackboard	['blækbɒ:d]	n.黑板
butcher	['butʃə]	n.卖肉的
meat	[mi:t]	n. (食用) 肉
beef	[bi:f]	n.牛肉
lamb	[læm]	n.羔羊肉
husband	['hʌzbənd]	n.丈夫
steak	['steik]	n.牛排
mince	[mins]	n.肉馅，绞肉
chicken	['tʃikin]	n.鸡
tell	[tel]	v.告诉
truth	[tru:ð]	n.实情
either	['aiθə, 'i:θə]	ad.也
tomato	[tə'ma:təʊ]	n.西红柿
potato	[pəʊ'teitəʊ]	n.土豆
cabbage	['kæbidʒ]	n.卷心菜
lettuce	['letis]	n.莴苣
pea	[pi:]	n.豌豆
bean	[bi:n]	n.豆角
pear	[pAə]	n.梨
grape	[greip]	n.葡萄
peach	[pi:tʃ]	n.桃
Greece	[gri:s]	n.希腊
climate	['klaimit]	n.气候
country	['kʌntri]	n.国家; 乡村
pleasant	['pleznt]	a.宜人的
weather	['weθə]	n.天气
spring	[sprıŋ]	n.春季
windy	['windi]	a.有风的
warm	[wɒ:m]	a.温暖的
rain	[rein]	v.下雨
sometimes	['sʌmtaimz]	ad.有时
summer	['sʌmə]	n.夏天
autumn	['ɒ:təm]	n.秋天
winter	['wintə]	n.冬天
snow	[snəʊ]	v.下雪
January	['dʒænjuəri]	n.一月
February	['februəri]	n.二月
March	[mα:tʃ]	n.三月
April	['eiprəl]	n.四月
May	[mei]	n.五月
June	[dʒu:n]	n.六月
July	[dʒu'lai]	n.七月
August	[ɒ:'gʌst]	n.八月
September	[səp'tembə]	n.九月
October	[ɒk'təʊbə]	n. 十月
November	[nəʊ'vembə]	n.十一月
December	[di'sembə]	n.十二月
the U.S.		美国
Brazil	[brə'zil]	n.巴西
Holland	['hɒlənd]	n.荷兰
England	['inglənd]	n.英国
France	[frα:ns]	n.法国
Germany	['dʒз:məni]	n.德国
Italy	['itəli]	n.意大利
Norway	['nɒ:wei]	n.挪威
Russia	['rʌʃə]	n.俄罗斯
Spain	[spein]	n.西班牙
Sweden	['swi:dn]	n.瑞典
mild	[maild]	a.温和的，温暖的
always	['ɒ:lweiz, 'ɒ:lwəz]	ad.总是
north	[nɒ:ð]	n.北方
east	[i:st]	n.东方
wet	[wet]	a.潮湿的
west	[west]	n.西方
south	[sauð]	n.南方
season	['si:zn]	n.季节
best	[best]	a. 最好的；ad.最，最好地
night	[nait]	n.夜晚
rise	[raiz]	v.升起
early	['з:li]	ad.早
set	[set]	v. (太阳)落下去
late	[leit]	ad.晚，迟
interesting	['intristıŋ]	a.有趣的，有意思的
subject	['sʌbdʒikt, sʌb'dʒekt]	n.话题，主题
conversation	['kɒnvə'seiʃən]	n.谈话
Australia		n.澳大利亚
Australian		n.澳大利亚人
Austria		n.奥地利
Austrian		n.奥地利人
Canada		n.加拿大
Canadian		n.加拿大人
China		n.中国
Finland		n.芬兰
Finnish		n.芬兰人
India		n.印度
Indian		n.印度人
Japan		n.日本
Nigeria		n.尼日利亚
Nigerian		n.尼日利亚人
Turkey	['tз:ki]	n.土耳其
Turkish		n.土耳其人
Korea		n.韩国
Polish	['pɒliʃ]	n.波兰人
Poland		n.波兰
Thai		n.泰国人
Thailand		n.泰国
live	[liv' laiv]	v.住，生活
stay	[stei]	v.呆在，停留
home	[həʊm]	n.家；ad.在家，到家
housework	['hauswз:k]	n.家务
lunch	[lʌntʃ]	n.午饭
afternoon	['a:ftə'nu:n]	n.下午
usually	['ju:ʒuəli]	ad.通常
together	[tə'geθə]	ad.一起
evening	['i:vnıŋ]	n.晚上
arrive	[ə'raiv]	v.到达
night	[nait]	n.夜间
o'clock		ad.点钟
shop	[ʃɒp]	n.商店
moment	['məʊmənt]	n.片刻，瞬间
envelope	['enviləʊp]	n.信封
writing paper		信纸
shop assistant		售货员
size	[saiz]	n.尺寸，尺码，大小
pad	[pæd]	n.信笺簿
glue	[glu:]	n.胶水
chalk	[tʃɒ:k]	n.粉笔
change	[tʃeindʒ]	n.零钱，找给的钱；v.兑换(钱)
feel	[fi:l]	v.感觉
look	[luk]	v.看(起来)
call	[kɒ:l]	v.叫，请
doctor	['dɒktə]	n.医生
telephone	['telifəʊn]	n.电话；v.打电话
remember	[ri'membə]	v.记得，记住
mouth	[mauð]	n.嘴
tongue	[tʌŋ]	n.舌头
bad	[bæd]	a.坏的，严重的
cold	[kəʊld]	n.感冒
news	[nju:z]	n.消息
headache	['hedeik]	n.头痛
aspirin	['æspərin]	n.阿斯匹林
earache	['ıəreik]	n.耳痛
toothache	['tu:ðeik]	n.牙痛
dentist	['dentist]	n.牙医
stomach ache		胃痛
medicine	['medisin]	n.药
temperature	['tempəritʃə]	n.温度
flu	[flu:]	n.流行性感冒
measles	['mi:zlz]	n.麻疹
mumps	[mʌmps]	n.腮腺炎
better	['betə]	a.较好的；ad.更好
certainly	['sз:tənli]	ad.当然
get up		起床
yet	[jet]	ad.还，仍
rich	[ritʃ]	a.油腻的
food	[fu:d]	n.食物
remain	[ri'mein]	v.保持，继续
play	[plei]	v.玩
match	[mætʃ]	n.火柴
talk	[tɒ:k]	v.谈话
library	['laibrəri]	n.图书馆
drive	[draiv]	v.开车
so	[səʊ]	ad.如此地
quickly	['kwikli]	ad.快地
lean out of		身体探出
break	[breik]	v.打破
noise	[nɒiz]	n.喧闹声
Dad	[dæd]	n.爸(儿语)
key	[ki:]	n.钥匙
baby	['beibi]	n.婴儿
hear	[hıə]	v.听见
enjoy	[in'dʒɒi]	v.玩得快活，享受......的乐趣
yourself	[jɒ:'self]	pron.你自己
ourselves	['auə'selvz]	pron.我们自己
mum	[mʌm]	妈妈
myself	[mai'self]	pron.我自己
themselves	[θAm'selvz]	pron.他们自己
himself	[him'self]	pron.他自己
herself	[hз:'self]	pron.她自己
greengrocer	['gri:n'grəʊsə]	n.蔬菜水果零售商
absent	['æbsənt, əb'sent]	a.缺席的
Monday	['mʌndi]	n.星期一
Tuesday	['tju:zdi]	n.星期二
Wednesday	['wenzdi]	n.星期三
Thursday	[ðз:zdi]	星期四
keep	[ki:p]	v. (身体健康) 处于 (状况)
spend	[spend]	v.度过
weekend	['wi:kend]	n.周末
Friday	['fraidi]	n.星期五
Saturday	['sætədi]	n.星期六
Sunday	['sʌndi]	n.星期日
country	[ˈkʌntri]	n.乡村
lucky	['lʌki]	a.幸运的
church	[tʃз:tʃ]	n.教堂
dairy	['dAəri]	n.乳品店
baker	['beikə]	n.面包师傅
grocer	['grəʊsə]	n.食品杂货商
year	[jз:, jıə]	n.年
race	[reis]	n.比赛
town	[taun]	n.城镇
crowd	[kraud]	n.人群
stand	[stænd]	v.站立
exciting	[ik'saitıŋ]	a.使人激动的
just	[dʒʌst]	ad.正好，恰好
finish	['finiʃ]	n.结尾，结束
winner	['winə]	n.获胜者
behind	[bi'haind]	prep.在......之后
way	[wei]	n.路途
stationer	['steiʃənə]	文具商
Denmark		n.丹麦
awful	['ɒ:ful]	ad.让人讨厌的，坏的
telephone	['telifəʊn]	v. & n.打电话；电话
time	[taim]	n.次(数)
answer	['a:nsə]	v.接(电话)
last	[la:st]	a.最后的，前一次的
phone	[fəʊn]	n.电话
again	[ə'gein, ə'gen]	ad.又一次地
say	[sei]	(said, said) v.说
week	[wi:k]	n.周
London		n.伦敦
suddenly	['sʌdnli]	ad.突然地
bus stop		公共汽车车站
smile	[smail]	v.微笑
pleasantly	['plezntli]	ad.愉快地
understand	['ʌndə'stænd]	(understood, understood) v.懂，明白
speak	[spi:k]	(spoke, spoke) v.讲，说
hand	[hænd]	n.手
pocket	['pɒkit]	n.衣袋
phrasebook		n.短语手册，常用语手册
phrase	[freiz]	n.短语
slowly	['sləʊli]	ad.缓慢地
hurriedly		ad.匆忙地
cut		v.割，切(cut, cut)
thirstily	['ðз:stili]	ad.口渴地
go	[gəʊ]	(went, gone) v.走
greet	[gri:t]	v.问候，打招呼
ago	[ə'gəʊ]	ad.以前
buy	[bai]	(bought, bought) v.买
pair	[pAə]	n.双，对
fashion	['fæʃən]	n. (服装的) 流行式样
uncomfortable	[ʌn'kʌmfətəbl]	a.不舒服的
wear	[wAə]	(wore, wore) v.穿着
appointment	[ə'pɒintmənt]	n.约会，预约
urgent	['з:dʒənt]	a.紧急的，急迫的
till	[til]	prep.直到......为止
shopping	['ʃɒpıŋ]	n.购物
list	[list]	n.单子
vegetable	['vedʒitəbl]	n.蔬菜
need	[ni:d]	v.需要
hope	[həʊp]	v.希望
thing	[ðıŋ]	n.事情
money	['mʌni]	n.钱
groceries		n.食品；杂货
fruit	[fru:t]	n.水果
stationery	['steiʃənəri]	n.文具
newsagent	['nju:zeidʒənt]	n.报刊零售人
chemist	['kemist]	n.药剂师，化学家
bath	[ba:ð]	n.洗澡
nearly	['nıəli]	ad.几乎，将近
ready	['redi]	a.准备好的，完好的
dinner	['dinə]	n.正餐，晚餐
restaurant	['restərɒnt]	n.饭馆，餐馆
roast	[rəʊst]	a.烤的
breakfast	['brekfəst]	n.早饭
haircut	['hAəkʌt]	n.理发
party	['pa:ti]	n.聚会
holiday	['hɒlədi]	n.假日
mess	[mes]	n.杂乱，凌乱
pack	[pæk]	v.包装，打包，装箱
suitcase	['sju:tkeis]	n.手提箱
leave	[li:v]	(left, left) v.离开
already	[ɒ:l'redi]	ad.已经
Paris		n.巴黎
cinema	['sinimə]	n.电影院
film		n.电影
beautiful	['bju:tiful]	a.漂亮的
city	['siti]	n.城市
never	['nevə]	ad.从来没有
ever	['evə]	ad.在任何时候
attendant	[ə'tendənt]	n.接待员
bring	[brıŋ]	(brought, brought) v.带来，送来
garage	['gæra:ʒ]	n.车库，汽车修理厂
crash	[kræʃ]	n.碰撞
lamp-post		n.灯杆
repair	[ri'pAə]	v.修理
try	[trai]	v.努力，设法
believe	[bi'li:v]	v.相信，认为
may	[mei]	modal verb(用于请求许可)可以
how long		多长
since	[sins]	prep.自从
why	[wai]	ad.为什么
sell	[sel]	(sold, sold) v.卖，出售
because	[bi'kɒz]	conj.因为
retire	[ri'taıə]	v.退休
cost	[kɒst]	(cost, cost) v.花费
pound		n.英镑(￡)
worth	[wз:ð]	prep.值......钱
penny	['peni]	n.便士
still	[stil]	ad.还，仍旧
move	[mu:v]	v.搬家
miss	[mis]	v.想念，思念
neighbour	['neibə]	n.邻居
person	['pз:sn]	n.人
people	['pi:pl]	n.人们
poor	[puə]	a.可怜的；贫穷的
pilot	['pailət]	n.飞行员
return	[ri'tз:n]	v.返回；n.往返
New York		n.纽约
Tokyo		n.东京
Madrid		n.马德里
fly	[flai]	(flew, flown) v.飞行
Athens		n.雅典
Berlin		n.柏林
Bombay		n.孟买
Geneva	[dʒi'ni:və]	n.日内瓦
Moscow		n.莫斯科
Rome		n.罗马
Seoul		n.汉城
Stockholm		n.斯德哥尔摩
Sydney		n.悉尼
return	[ri'tз:n]	n.往返
train	[trein]	n.火车
platform	['plætfɒ:m]	n.站台
plenty	['plenti]	n.大量
bar	[ba:]	n.酒吧
station	['steiʃən]	n.车站，火车站
porter	['pɒ:tə]	n.收票员
catch	[kætʃ]	(caught, caught) v.赶上
miss	[mis]	v.错过
leave	[li:v]	(left)v.遗留
describe	[dis'kraib]	v.描述
zip	[zip]	n.拉链
label	['leibl]	n.标签
handle	['hændl]	n.提手，把手
address	[ə'dres]	n.地址
pence	[pens]	n. penny的复数形式
belong	[bi'lɒŋ]	v.属于
ow	[au]	int.哎哟
slip	[slip]	v.滑倒，滑了一脚
fall	[fɒ:l]	(fell, fallen) v.落下，跌倒
downstairs	['daun'stAəz]	ad.下楼
hurt	[hз:t]	(hurt, hurt) v.伤，伤害，疼痛
back	[bæk]	n.背
stand up		起立，站起来
help	[help]	v.帮助
at once		立即
sure	[ʃuə]	a.一定的，确信的
X-ray		n. X光透视
licence	[ˈlaɪsns]	n.执照
Scotland		n.苏格兰
card	[ka:d]	n.明信片
youth	[ju:ð]	n.青年
hotel	[həʊ'tel]	n.招待所，旅馆
association	[ə'səʊsi'eiʃən]	n.协会
soon	[su:n]	ad.不久
write	[rait]	(wrote, written) v.写
exam	[ig'zæm]	n.考试
pass	[pa:s]	v.及格，通过
mathematics	['mæði'mætiks]	n.数学 (maths 是缩写)
question	['kwestʃən]	n.问题
easy	['i:zi]	a.容易的
enough	[i'nʌf]	a.足够的；ad.足够地
paper	['peipə]	n.考卷
fail	[feil]	v.未及格，失败
answer	['a:nsə]	v.回答
mark	[ma:k]	n.分数
rest	[rest]	n.其他的东西
difficult	['difikəlt]	a.困难的
hate	[heit]	v.讨厌
low	[ləʊ]	a.低的，矮的
cheer	[tʃıə]	v.振作，振奋
guy	[gai]	n.家伙，人
top	[tɒp]	n.上方，顶部
clever	['klevə]	a.聪明的
stupid	['stju:pid]	a.笨的
cheap	[tʃi:p]	a.便宜的
expensive	[iks'pensiv]	a.贵的
stale	[steil]	a.变馊的
loud	[laud]	a.大声的
high	[hai]	a.高的
hard	['ha:d]	a.硬的
sweet	[swi:t]	a.甜的
soft	[sɒft]	a.软的
sour	['sauə]	a.酸的
spell	[spel]	(spelt, spelt) v.拼写
intelligent	[in'telidʒənt]	a.聪明的，有智慧的
mistake	[mis'teik]	n.错误
present	['preznt]	n.礼物
dictionary	['dikʃənəri]	n.词典
carry	['kæri]	v.携带
correct	[kə'rekt]	v.改正，纠正
keep	[ki:p]	v.保存，保留
madam	['mædəm]	n.夫人，女士(对妇女的尊称)
smart	[sma:t]	a.漂亮的
as well		同样
suit	[sju:t]	v.适于
pretty	['priti]	a.漂亮的
idea	[ai'dıə]	n.主意
a little		少许
teaspoonful	['ti:spu:n'ful, -spun-]	n.一满茶匙
less	[les]	a.较少的，更小的
a few		几个
pity	['piti]	n.遗憾
instead	[in'sted]	ad.代替
advice	[əd'vais]	n.建议，忠告
most	[məʊst]	最多的
least	[li:st]	最小的，最少的
best	[bɛst]	a.(good的最高级)最好的
worse	[wз:s]	更坏的
worst	[wз:st]	a.最坏的
model	['mɒdl]	n.型号，式样
afford	[ə'fɒ:d]	v.付得起(钱)
deposit	[di'pɒzit]	n.预付定金
installment	[in'stɒ:lmənt]	n.分期付款
price	[prais]	n.价格
millionaire	['miljə'nAə]	n.百万富翁
conductor	[kən'dʌktə]	n.售票员
fare	[fAə]	n.车费，车票
change	[tʃendʒ]	v.兑换(钱)
note	[nəʊt]	n.纸币
passenger	['pæsindʒə]	n.乘客
none	[nʌn]	pron.没有任何东西
neither	['naiθə, 'ni:θə]	ad.也不
get off		下车
tramp	[træmp]	n.流浪汉
except	[ik'sept]	prep.除……外
anyone	['eniwʌn]	pron.任何人
knock	[nɒk]	v.敲，打
everything	['evriðıŋ]	pron.一切事物
quiet	['kwaıət]	a.宁静的，安静的
impossible	[im'pɒsəbl]	a.不可能的
invite	[in'vait]	v.邀请
anything	['eniðıŋ]	pron.任何东西
nothing	['nʌðıŋ]	pron.什么也没有
lemonade	['lemə'neid]	n.柠檬水
joke	[dʒəʊk]	v.开玩笑
asleep	[ə'sli:p]	a.睡觉，睡着
glasses		n.眼镜
dining room		饭厅
coin	[kɒin]	n.硬币
mouth	[mauð]	n.嘴
swallow	['swɒləʊ]	v.吞下
later	['leitə]	ad.后来
toilet	['tɒilit]	n.厕所，盥洗室
ring	[rıŋ]	v.响
story	['stɒ:ri]	n.故事
happen	['hæpən]	v.发生
thief	[ði:f]	n.贼
enter	['entə]	v.进入
dark	[da:k]	a.黑暗的
